ReturnID,OrderID,CustomerID,ProductID,ReturnDate,ReturnReason,RefundAmount,RefundStatus
1,38,15106,80,2024-10-16,Changed Mind,7442.56,Rejected
2,40,17947,155,2026-04-23,Product Not as Described,16725.71,Processed
3,49,8040,207,2024-11-30,Product Not as Described,1721.77,Processed
4,53,7663,433,2025-11-27,Wrong Item Delivered,3646.17,Pending
5,56,3546,392,2024-08-07,Damaged Product,326544.7,Pending
6,75,14347,428,2025-06-29,Product Not as Described,160869.52,Pending
7,90,663,292,2025-08-12,Wrong Item Delivered,94158.18,Rejected
8,91,4774,496,2025-05-30,Late Delivery,5318.48,Rejected
9,99,12890,12,2025-06-13,Quality Not Satisfactory,19033.81,Processed
10,121,8781,460,2025-11-06,Damaged Product,2616.91,Pending
11,130,15043,156,2026-01-05,Quality Not Satisfactory,52770.69,Processed
12,138,18838,466,2025-08-16,Damaged Product,270.36,Processed
13,172,11073,181,2025-06-05,Wrong Item Delivered,12570.97,Rejected
14,181,17677,79,2024-12-23,Defective Product,385291.54,Processed
15,186,22,454,2025-09-22,Changed Mind,170287.56,Pending
16,209,9000,487,2024-09-14,Damaged Product,1811.94,Rejected
17,215,6486,351,2026-04-09,Product Not as Described,3299.38,Rejected
18,219,14418,175,2025-07-27,Quality Not Satisfactory,21981.24,Processed
19,220,18745,336,2025-10-25,Defective Product,2724.57,Rejected
20,226,19907,130,2025-11-15,Changed Mind,1368.55,Processed
21,229,13772,399,2024-11-15,Quality Not Satisfactory,106951.91,Processed
22,231,5614,462,2024-09-27,Late Delivery,2031.82,Processed
23,232,2350,231,2025-06-08,Damaged Product,277981.52,Processed
24,234,11711,316,2025-08-19,Quality Not Satisfactory,54187.71,Processed
25,248,302,144,2025-08-31,Quality Not Satisfactory,3650.13,Processed
26,251,11810,354,2025-04-15,Size Issue,891.79,Processed
27,253,1164,226,2026-05-18,Product Not as Described,9003.42,Pending
28,266,12384,29,2024-08-10,Size Issue,123842.82,Processed
29,274,18981,473,2026-06-17,Defective Product,143745.88,Pending
30,275,3553,479,2026-02-11,Product Not as Described,42155.82,Processed
31,298,19857,93,2025-02-21,Quality Not Satisfactory,3865.48,Processed
32,332,13674,249,2025-02-02,Changed Mind,18635.05,Rejected
33,349,3300,139,2025-11-13,Product Not as Described,8299.01,Processed
34,353,1386,475,2025-09-24,Late Delivery,21942.49,Processed
35,378,7573,38,2024-10-05,Wrong Item Delivered,247655.89,Processed
36,400,16696,403,2026-02-24,Quality Not Satisfactory,7509.16,Processed
37,411,15672,144,2024-10-18,Changed Mind,11842.09,Rejected
38,434,15553,429,2025-03-28,Damaged Product,201758.82,Processed
39,447,14678,134,2025-02-26,Damaged Product,13789.75,Pending
40,455,16374,366,2024-11-19,Changed Mind,194620.97,Processed
41,456,10140,175,2024-09-29,Wrong Item Delivered,16630.92,Processed
42,461,7369,58,2024-12-06,Size Issue,12810.17,Processed
43,481,240,379,2025-03-21,Product Not as Described,430.13,Processed
44,490,1586,221,2024-11-04,Quality Not Satisfactory,2547.3,Pending
45,492,6212,43,2024-12-25,Late Delivery,93042.06,Pending
46,507,5011,447,2026-06-11,Quality Not Satisfactory,184459.33,Processed
47,516,4941,131,2025-08-30,Damaged Product,6279.74,Processed
48,518,15298,431,2026-07-06,Damaged Product,475.06,Pending
49,522,13497,352,2025-10-05,Defective Product,59323.76,Rejected
50,547,5003,7,2025-10-25,Size Issue,6498.52,Processed
51,555,18735,241,2026-03-12,Late Delivery,1571.74,Pending
52,569,4514,397,2025-10-13,Late Delivery,1413.42,Processed
53,580,527,274,2025-03-27,Wrong Item Delivered,14563.5,Processed
54,590,8152,310,2025-08-16,Size Issue,950.19,Rejected
55,592,16881,349,2026-03-29,Late Delivery,15878.47,Rejected
56,598,1227,11,2025-08-16,Late Delivery,232108.77,Processed
57,646,2872,492,2025-04-04,Damaged Product,5259.21,Rejected
58,651,8652,86,2025-09-13,Size Issue,6666.91,Processed
59,657,4101,315,2025-05-23,Damaged Product,18106.52,Rejected
60,672,14576,132,2025-06-20,Changed Mind,3816.01,Processed
61,688,5865,443,2026-06-27,Late Delivery,26794.0,Pending
62,699,17021,367,2025-02-15,Product Not as Described,3527.42,Rejected
63,705,3553,127,2025-11-23,Quality Not Satisfactory,198892.03,Processed
64,706,17184,80,2026-01-16,Damaged Product,5707.22,Pending
65,711,17917,338,2025-04-03,Product Not as Described,386.84,Processed
66,722,2838,225,2026-08-15,Damaged Product,5491.3,Processed
67,754,6006,80,2024-08-20,Defective Product,6160.28,Processed
68,757,13626,345,2025-02-06,Product Not as Described,19306.72,Processed
69,765,10468,32,2025-09-01,Size Issue,804.15,Pending
70,767,3738,404,2026-08-02,Changed Mind,269768.35,Processed
71,781,9729,286,2025-01-01,Late Delivery,284869.87,Pending
72,816,9326,314,2026-06-02,Changed Mind,7394.36,Processed
73,825,16795,215,2024-09-18,Changed Mind,7455.57,Processed
74,827,3898,438,2024-11-10,Damaged Product,1122.15,Processed
75,831,4586,266,2026-08-02,Changed Mind,12531.37,Pending
76,834,19337,285,2025-06-18,Product Not as Described,1732.55,Processed
77,839,8986,245,2025-02-26,Changed Mind,7150.64,Rejected
78,847,10722,325,2026-01-15,Size Issue,2746.17,Rejected
79,848,11829,67,2025-04-24,Wrong Item Delivered,817.59,Processed
80,870,3823,209,2026-03-05,Quality Not Satisfactory,13033.69,Processed
81,895,18785,246,2025-09-17,Damaged Product,206609.35,Processed
82,899,9166,87,2025-01-25,Size Issue,19962.64,Rejected
83,905,10033,252,2025-08-03,Defective Product,2787.82,Processed
84,917,15291,95,2025-06-07,Late Delivery,1810.64,Processed
85,918,14053,350,2025-08-01,Changed Mind,71495.14,Pending
86,938,17182,330,2024-11-12,Late Delivery,14203.12,Processed
87,952,13250,474,2025-06-06,Wrong Item Delivered,93688.2,Processed
88,957,16583,214,2025-11-30,Damaged Product,2158.46,Processed
89,970,2120,494,2024-11-10,Changed Mind,281193.63,Pending
90,976,5570,174,2025-03-11,Quality Not Satisfactory,68024.57,Pending
91,995,5197,36,2024-09-16,Wrong Item Delivered,187983.77,Processed
92,1004,15393,344,2024-09-26,Late Delivery,323.07,Rejected
93,1010,7128,189,2026-06-15,Size Issue,627.87,Rejected
94,1015,363,65,2026-02-09,Quality Not Satisfactory,1442.87,Processed
95,1018,404,382,2025-06-30,Quality Not Satisfactory,23340.81,Processed
96,1031,7890,64,2025-05-09,Quality Not Satisfactory,9020.85,Processed
97,1040,8342,302,2025-11-10,Quality Not Satisfactory,42901.64,Rejected
98,1047,1700,452,2026-05-15,Size Issue,13355.57,Processed
99,1051,11602,361,2024-10-08,Wrong Item Delivered,10518.6,Processed
100,1072,658,462,2025-07-31,Quality Not Satisfactory,393.83,Processed
101,1082,1363,17,2026-04-10,Damaged Product,92350.21,Pending
102,1086,137,318,2025-11-24,Product Not as Described,528722.83,Processed
103,1100,12526,151,2025-02-04,Size Issue,65083.81,Processed
104,1102,1806,11,2026-02-26,Size Issue,567249.74,Rejected
105,1113,1383,287,2025-09-03,Product Not as Described,190317.41,Processed
106,1114,7217,181,2026-05-30,Damaged Product,4821.98,Rejected
107,1133,11768,175,2025-04-01,Late Delivery,4181.78,Rejected
108,1154,777,64,2025-04-02,Late Delivery,2077.23,Processed
109,1168,13905,281,2025-01-15,Quality Not Satisfactory,2510.57,Processed
110,1174,11668,26,2026-02-06,Defective Product,481958.4,Processed
111,1190,14977,36,2026-04-11,Quality Not Satisfactory,77395.41,Processed
112,1211,17754,16,2026-06-05,Product Not as Described,1028.64,Pending
113,1212,15441,445,2025-10-12,Changed Mind,15634.37,Processed
114,1217,9534,159,2025-06-25,Defective Product,280.82,Pending
115,1223,19679,476,2025-10-30,Defective Product,6700.3,Rejected
116,1232,2704,431,2025-01-13,Late Delivery,486.87,Processed
117,1250,19020,162,2026-06-27,Changed Mind,2348.1,Processed
118,1265,10310,480,2024-08-20,Product Not as Described,331888.17,Processed
119,1272,1407,317,2025-01-05,Changed Mind,13207.96,Processed
120,1285,3837,483,2026-02-02,Wrong Item Delivered,57733.16,Pending
121,1291,12387,375,2026-02-23,Damaged Product,84.2,Processed
122,1293,13030,315,2024-12-19,Late Delivery,14367.07,Processed
123,1295,5407,64,2024-08-24,Late Delivery,2230.62,Processed
124,1324,7324,14,2026-07-09,Late Delivery,3847.03,Rejected
125,1330,8925,215,2026-06-12,Wrong Item Delivered,18586.76,Processed
126,1344,15716,460,2025-02-06,Wrong Item Delivered,1038.8,Processed
127,1368,12504,495,2025-05-24,Size Issue,23104.13,Processed
128,1394,1776,257,2025-02-13,Defective Product,14213.35,Processed
129,1396,16534,307,2025-07-28,Late Delivery,4114.98,Processed
130,1398,7334,178,2026-08-09,Changed Mind,2524.82,Rejected
131,1429,11805,448,2025-03-28,Defective Product,2667.4,Processed
132,1449,4777,193,2026-02-16,Product Not as Described,211638.58,Pending
133,1461,15264,218,2025-03-16,Damaged Product,103247.76,Processed
134,1486,4167,139,2024-09-18,Late Delivery,7803.89,Processed
135,1493,5057,173,2026-08-01,Quality Not Satisfactory,200.32,Processed
136,1501,5665,307,2025-02-11,Late Delivery,8334.31,Processed
137,1503,17301,280,2025-04-02,Wrong Item Delivered,2187.19,Processed
138,1510,15655,149,2025-03-02,Quality Not Satisfactory,8715.97,Rejected
139,1519,18971,465,2025-08-19,Quality Not Satisfactory,1537.21,Rejected
140,1534,3468,22,2024-12-01,Product Not as Described,5337.72,Processed
141,1544,5156,357,2025-04-08,Changed Mind,21059.6,Pending
142,1552,3068,130,2026-04-19,Quality Not Satisfactory,686.87,Processed
143,1576,1100,455,2025-11-26,Damaged Product,175.23,Rejected
144,1588,16610,44,2026-02-08,Wrong Item Delivered,4861.47,Processed
145,1592,13385,21,2024-08-15,Late Delivery,50470.09,Pending
146,1598,3123,57,2025-01-29,Wrong Item Delivered,15890.86,Processed
147,1616,15938,164,2026-01-24,Quality Not Satisfactory,404.75,Pending
148,1635,18950,185,2026-04-09,Wrong Item Delivered,777.03,Pending
149,1659,11445,195,2024-12-24,Changed Mind,3777.2,Pending
150,1665,10354,387,2025-02-10,Size Issue,20415.15,Processed
151,1676,3972,236,2025-03-13,Late Delivery,13851.55,Rejected
152,1693,921,497,2025-08-19,Defective Product,18178.17,Processed
153,1713,9983,390,2025-04-24,Late Delivery,3128.51,Rejected
154,1720,5845,235,2024-09-08,Product Not as Described,3344.87,Pending
155,1727,3558,27,2024-08-17,Wrong Item Delivered,21129.63,Pending
156,1736,15820,482,2025-10-23,Defective Product,41710.15,Processed
157,1756,3186,366,2025-09-17,Wrong Item Delivered,75164.79,Processed
158,1761,11804,282,2025-07-09,Changed Mind,537.09,Processed
159,1762,10033,378,2025-12-17,Product Not as Described,8338.99,Processed
160,1770,5592,473,2026-01-26,Damaged Product,110006.47,Rejected
161,1774,6533,74,2025-12-12,Product Not as Described,20400.36,Rejected
162,1776,16763,148,2024-11-06,Late Delivery,1474.09,Processed
163,1782,16172,56,2025-01-13,Changed Mind,1234.73,Processed
