ReviewID,OrderID,CustomerID,ProductID,Rating,ReviewTitle,ReviewText,ReviewDate
1,1,10651,276,4,Worth the Money,Very satisfied with the purchase.,2025-09-24
2,7,4903,53,3,Could Be Better,Delivery was on time.,2025-04-17
3,8,11374,435,4,Highly Recommended,Excellent quality and fast delivery.,2026-03-08
4,10,16550,119,5,Not Worth It,Excellent quality and fast delivery.,2024-12-21
5,11,1366,491,5,Not Worth It,Excellent quality and fast delivery.,2026-01-21
6,12,13490,450,4,Satisfied,Very satisfied with the purchase.,2025-09-23
7,13,3660,302,3,Amazing Purchase,Average quality.,2026-03-22
8,14,1865,454,5,Satisfied,Packaging was good and product is amazing.,2025-12-08
9,17,17292,240,5,Satisfied,Exactly as described.,2026-05-31
10,18,11197,392,4,Could Be Better,Packaging was good and product is amazing.,2025-02-13
11,19,1679,271,3,Satisfied,Delivery was on time.,2026-04-26
12,20,7407,261,2,Not Worth It,Stopped working after few days.,2025-05-14
13,21,14638,67,4,Amazing Purchase,Superb quality and easy to use.,2026-02-25
14,22,19441,235,1,Excellent Product,Not worth the price.,2024-10-28
15,24,2684,74,5,Excellent Product,Superb quality and easy to use.,2026-02-02
16,25,1016,77,5,Excellent Product,Value for money. Will buy again.,2025-01-05
17,26,16936,3,5,Worth the Money,Exactly as described.,2024-10-08
18,27,2974,431,3,Worth the Money,Expected a little better.,2026-03-02
19,28,988,161,2,Could Be Better,Poor quality product.,2026-07-15
20,29,13929,368,4,Very Good,Great experience with this product.,2026-04-22
21,30,12941,350,5,Not Worth It,Packaging was good and product is amazing.,2025-04-02
22,31,18374,231,5,Highly Recommended,Superb quality and easy to use.,2026-01-17
23,34,8113,154,5,Worth the Money,Packaging was good and product is amazing.,2025-01-12
24,36,14209,399,5,Worth the Money,Packaging was good and product is amazing.,2025-04-27
25,37,12716,370,5,Poor Quality,Very satisfied with the purchase.,2026-06-19
26,38,15106,80,5,Could Be Better,Packaging was good and product is amazing.,2024-09-28
27,39,17112,299,5,Amazing Purchase,Superb quality and easy to use.,2024-12-15
28,40,17947,155,1,Excellent Product,Will not recommend.,2026-04-27
29,42,2890,207,4,Excellent Product,Great experience with this product.,2024-11-01
30,44,16418,308,1,Worth the Money,Received a defective item.,2026-01-08
31,48,2244,154,4,Satisfied,Very satisfied with the purchase.,2025-04-09
32,49,8040,207,3,Highly Recommended,Works as intended.,2024-11-24
33,50,8515,202,5,Worth the Money,Superb quality and easy to use.,2025-12-05
34,51,1392,124,2,Highly Recommended,Stopped working after few days.,2025-09-29
35,54,4645,10,4,Average Product,Exactly as described.,2025-08-04
36,55,7522,321,4,Not Worth It,Superb quality and easy to use.,2024-08-24
37,56,3546,392,2,Average Product,Will not recommend.,2024-08-03
38,57,11583,250,5,Highly Recommended,Loved the product. Highly recommended.,2025-08-01
39,59,10927,245,2,Average Product,Will not recommend.,2025-03-13
40,60,1239,282,4,Not Worth It,Packaging was good and product is amazing.,2024-10-13
41,61,19183,447,3,Average Product,Average quality.,2025-06-08
42,63,16837,405,5,Excellent Product,Loved the product. Highly recommended.,2025-07-08
43,66,17180,427,3,Worth the Money,Average quality.,2024-12-20
44,68,8645,464,4,Could Be Better,Very satisfied with the purchase.,2024-09-04
45,72,4604,190,4,Could Be Better,Superb quality and easy to use.,2026-03-08
46,74,18033,411,5,Highly Recommended,Superb quality and easy to use.,2025-01-14
47,75,14347,428,4,Poor Quality,Very satisfied with the purchase.,2025-07-05
48,77,5740,370,5,Average Product,Excellent quality and fast delivery.,2025-10-29
49,78,16348,227,3,Excellent Product,Delivery was on time.,2025-07-12
50,79,17470,430,3,Worth the Money,Product is okay.,2025-11-30
51,80,912,147,4,Very Good,Value for money. Will buy again.,2026-03-16
52,81,19546,483,4,Not Worth It,Exactly as described.,2025-09-03
53,83,3194,133,5,Not Worth It,Loved the product. Highly recommended.,2026-02-21
54,84,13546,463,3,Satisfied,Average quality.,2025-12-08
55,85,12262,367,4,Satisfied,Loved the product. Highly recommended.,2025-07-01
56,87,9901,205,4,Average Product,Loved the product. Highly recommended.,2026-02-06
57,88,9639,41,3,Worth the Money,Product is okay.,2026-04-08
58,91,4774,496,1,Highly Recommended,Bad packaging.,2025-05-09
59,94,17028,65,3,Poor Quality,Product is okay.,2026-05-03
60,97,10302,227,3,Highly Recommended,Product is okay.,2025-09-04
61,98,18833,22,5,Not Worth It,Loved the product. Highly recommended.,2025-01-25
62,99,12890,12,2,Satisfied,Bad packaging.,2025-06-02
63,100,9755,106,2,Highly Recommended,Bad packaging.,2024-08-08
64,101,2654,148,3,Not Worth It,Delivery was on time.,2025-08-09
65,104,19940,474,5,Very Good,Exactly as described.,2025-08-29
66,105,4529,113,5,Very Good,Superb quality and easy to use.,2026-05-12
67,106,3603,253,2,Very Good,Not worth the price.,2024-12-01
68,111,18982,21,4,Poor Quality,Excellent quality and fast delivery.,2026-03-16
