ProductID,ProductName,Category,Brand,MRP,DiscountPercent,SellingPrice,CostPrice
1,Face Wash,Beauty,Lakme,1261,33,844.87,542.41
2,HP Pavilion Laptop,Electronics,HP,27285,22,21282.3,14502.44
3,Atta,Grocery,Aashirvaad,845,27,616.85,481.22
4,Bravia TV,Electronics,Sony,71297,6,67019.18,52742.1
5,Shampoo,Beauty,L'Oreal,842,33,564.14,404.13
6,Cookware Set,Home,Prestige,7070,25,5302.5,3289.62
7,Mixer Grinder,Home,Philips,9273,16,7789.32,5395.46
8,iPhone 16,Electronics,Apple,49123,6,46175.62,36298.52
9,Mixer Grinder,Home,Philips,9536,34,6293.76,4655.31
10,Water Bottle,Home,Milton,11451,33,7672.17,5834.69
11,WH-1000XM5 Headphones,Electronics,Sony,134493,10,121043.7,86352.59
12,Sneakers,Fashion,Adidas,5850,12,5148.0,3651.38
13,Face Wash,Beauty,Lakme,1775,20,1420.0,1129.4
14,Slim Jeans,Fashion,Levis,1717,30,1201.9,837.74
15,Face Wash,Beauty,Lakme,983,16,825.72,596.58
16,Running Shoes,Fashion,Nike,1460,27,1065.8,716.18
17,AirPods Pro,Electronics,Apple,36377,10,32739.3,23733.94
18,Tea,Grocery,Tata,794,31,547.86,358.67
19,Mixer Grinder,Home,Philips,11708,7,10888.44,6744.15
20,Sneakers,Fashion,Adidas,4224,19,3421.44,2646.67
21,AirPods Pro,Electronics,Apple,32179,10,28961.1,17711.84
22,Shampoo,Beauty,L'Oreal,2294,20,1835.2,1324.21
23,Cooking Oil,Grocery,Fortune,584,26,432.16,285.45
24,Track Pants,Fashion,Adidas,3702,22,2887.56,2268.74
25,Cooking Oil,Grocery,Fortune,227,31,156.63,100.0
26,iPhone 16,Electronics,Apple,124313,12,109395.44,74190.93
27,Cookware Set,Home,Prestige,8338,34,5503.08,4130.34
28,MacBook Air M3,Electronics,Apple,24709,27,18037.57,12763.77
29,HP Pavilion Laptop,Electronics,HP,149779,12,131805.52,84730.52
30,Cookware Set,Home,Prestige,7225,7,6719.25,4422.16
31,Serum,Beauty,L'Oreal,1655,35,1075.75,723.85
32,Lipstick,Beauty,Lakme,452,33,302.84,184.36
33,Track Pants,Fashion,Adidas,5076,24,3857.76,2858.46
34,Face Wash,Beauty,Lakme,1507,19,1220.67,960.63
35,Lipstick,Beauty,Lakme,1727,16,1450.68,908.54
36,HP Pavilion Laptop,Electronics,HP,61147,30,42802.9,30894.96
37,Cookware Set,Home,Prestige,5015,19,4062.15,2641.62
38,WH-1000XM5 Headphones,Electronics,Sony,117334,21,92693.86,71594.6
39,Face Wash,Beauty,Lakme,854,16,717.36,467.16
40,Slim Jeans,Fashion,Levis,1720,13,1496.4,906.58
41,Running Shoes,Fashion,Nike,4771,28,3435.12,2462.12
42,Galaxy S25,Electronics,Samsung,81945,11,72931.05,52733.2
43,Bravia TV,Electronics,Sony,36063,6,33899.22,21346.64
44,Slim Jeans,Fashion,Levis,1451,14,1247.86,914.16
45,Atta,Grocery,Aashirvaad,947,23,729.19,481.65
46,HP Pavilion Laptop,Electronics,HP,76215,24,57923.4,42099.11
47,Galaxy Buds,Electronics,Samsung,61116,9,55615.56,36658.92
48,Lipstick,Beauty,Lakme,224,23,172.48,128.18
49,Mixer Grinder,Home,Philips,5351,24,4066.76,2492.04
50,Cookware Set,Home,Prestige,13520,14,11627.2,8654.13
51,Cooking Oil,Grocery,Fortune,474,9,431.34,311.26
52,Water Bottle,Home,Milton,7724,24,5870.24,3767.49
53,HP Pavilion Laptop,Electronics,HP,38913,34,25682.58,19343.86
54,Cookware Set,Home,Prestige,1700,25,1275.0,914.41
